exception, save_state, search_for_vma, handle_mm_fault, restore_state, iret
508, 390, 2245, 394, 69, 268
503, 390, 1751, 382, 77, 270
508, 392, 1651, 410, 77, 268
497, 390, 2255, 457, 69, 270
488, 392, 2074, 429, 79, 270
498, 400, 2003, 412, 69, 271
503, 388, 1727, 370, 69, 269
495, 388, 2604, 414, 77, 270
506, 398, 1824, 382, 67, 270
500, 392, 1808, 370, 79, 270
508, 390, 2110, 404, 81, 270
508, 390, 2045, 422, 71, 268
508, 390, 1637, 654, 82, 268
508, 390, 1972, 380, 67, 272
499, 388, 1839, 470, 67, 273
507, 390, 1873, 404, 71, 268
508, 390, 1529, 396, 69, 268
508, 390, 1730, 372, 84, 268
506, 396, 1743, 380, 69, 266
508, 390, 1674, 390, 69, 274
505, 390, 1755, 394, 67, 274
504, 386, 1796, 628, 79, 272
507, 390, 1751, 382, 81, 276
506, 390, 1587, 390, 75, 268
504, 392, 1948, 533, 71, 268
508, 394, 1765, 394, 77, 268
506, 390, 1944, 410, 75, 280
506, 388, 1680, 390, 81, 268
501, 388, 1825, 382, 71, 270
501, 386, 1646, 388, 80, 268
508, 388, 1560, 378, 77, 268
508, 390, 1716, 473, 79, 271
501, 390, 1731, 429, 69, 270
508, 388, 1930, 400, 69, 270
507, 390, 1686, 400, 77, 268
498, 386, 2289, 388, 71, 269
501, 388, 1701, 427, 75, 270
498, 396, 1641, 356, 77, 267
508, 392, 1682, 416, 67, 271
494, 388, 1720, 412, 75, 270
510, 392, 1934, 414, 79, 270
501, 392, 1702, 368, 67, 270
502, 390, 1751, 392, 77, 269
498, 388, 1645, 378, 69, 270
498, 388, 1669, 369, 79, 266
508, 390, 1732, 416, 71, 270
506, 390, 1650, 390, 75, 270
508, 392, 2019, 378, 77, 268
510, 390, 1702, 384, 67, 270
508, 388, 1741, 394, 67, 268
506, 388, 1674, 372, 71, 272
500, 390, 1609, 378, 67, 270
510, 388, 1716, 416, 69, 270
509, 390, 1694, 371, 67, 270
504, 388, 2017, 424, 82, 268
507, 392, 1585, 398, 71, 268
508, 390, 1738, 697, 81, 269
510, 388, 1735, 396, 69, 269
503, 386, 1733, 372, 77, 270
508, 386, 1647, 420, 79, 272
508, 392, 1649, 383, 82, 268
508, 388, 1985, 384, 75, 286
508, 396, 1627, 402, 69, 272
506, 390, 1763, 404, 79, 268
508, 394, 1714, 398, 67, 271
498, 388, 1905, 370, 77, 273
508, 388, 1615, 396, 75, 269
507, 388, 1694, 380, 69, 268
508, 388, 1702, 373, 77, 269
503, 392, 1554, 372, 76, 270
504, 392, 1820, 382, 69, 268
508, 388, 1708, 378, 79, 268
499, 390, 1729, 384, 82, 270
505, 390, 1686, 375, 69, 270
508, 388, 1682, 384, 75, 269
504, 390, 1763, 372, 77, 268
508, 388, 1564, 396, 69, 270
506, 390, 1718, 392, 81, 272
508, 394, 1684, 440, 88, 268
502, 390, 1595, 386, 75, 270
510, 390, 1649, 406, 81, 268
487, 390, 1863, 353, 77, 642
510, 388, 1932, 424, 77, 268
510, 390, 1523, 424, 79, 268
510, 392, 1732, 376, 81, 274
506, 390, 1761, 412, 69, 272
501, 388, 1634, 367, 67, 272
508, 396, 1721, 406, 81, 268
508, 388, 1696, 386, 75, 270
499, 390, 1859, 369, 77, 266
509, 386, 1595, 437, 76, 270
502, 392, 1731, 402, 77, 270
512, 392, 1670, 402, 75, 270
495, 386, 1613, 382, 80, 268
508, 386, 1633, 424, 71, 269
511, 388, 1924, 378, 69, 270
508, 390, 1999, 377, 81, 271
508, 388, 1550, 429, 67, 273
502, 388, 2120, 396, 81, 266
501, 388, 1703, 382, 69, 270
499, 388, 1619, 384, 71, 270
490, 587, 3699, 1698, 75, 271
505, 397, 2019, 380, 77, 270
506, 385, 1833, 388, 69, 268
508, 390, 1570, 432, 79, 266
506, 386, 1722, 662, 77, 272
504, 396, 1656, 398, 69, 268
501, 388, 1753, 384, 67, 270
505, 388, 1674, 414, 69, 268
492, 386, 1678, 457, 69, 298
506, 388, 1722, 378, 75, 268
510, 388, 1568, 392, 71, 268
509, 388, 1713, 393, 69, 272
510, 388, 1741, 406, 77, 300
508, 396, 1589, 386, 77, 272
507, 386, 1764, 406, 67, 270
510, 390, 8204, 392, 93, 285
510, 388, 1698, 376, 81, 270
508, 384, 1546, 398, 75, 270
506, 386, 1775, 424, 69, 270
502, 388, 1684, 392, 69, 268
503, 390, 1916, 378, 75, 268
508, 386, 1615, 384, 69, 270
509, 390, 2054, 378, 75, 276
506, 394, 2003, 380, 71, 270
508, 390, 1570, 408, 73, 270
508, 388, 1722, 438, 69, 270
500, 388, 1704, 390, 75, 268
501, 390, 1672, 388, 81, 270
507, 388, 1682, 410, 69, 270
507, 388, 1660, 384, 69, 270
508, 390, 1786, 370, 82, 268
508, 392, 1537, 410, 81, 271
508, 390, 1844, 406, 69, 268
508, 394, 1731, 398, 75, 270
500, 388, 1698, 376, 77, 270
506, 390, 1647, 396, 75, 272
508, 390, 1704, 386, 87, 268
509, 390, 1973, 374, 84, 270
508, 388, 1521, 417, 75, 268
508, 387, 1806, 418, 80, 268
506, 392, 1741, 388, 83, 268
503, 390, 1638, 394, 79, 272
510, 390, 1655, 424, 81, 270
507, 390, 1642, 390, 75, 270
506, 390, 1822, 369, 71, 272
505, 390, 1512, 416, 77, 270
504, 392, 1990, 396, 75, 274
506, 394, 1674, 388, 76, 266
501, 388, 1623, 392, 69, 268
506, 388, 1619, 380, 69, 268
510, 394, 1682, 396, 69, 267
505, 388, 1851, 372, 79, 268
508, 390, 1574, 380, 69, 272
508, 388, 1735, 372, 80, 270
512, 390, 1664, 395, 69, 268
498, 392, 1765, 414, 79, 266
506, 388, 1666, 404, 71, 268
508, 388, 1688, 392, 67, 269
502, 388, 1832, 381, 69, 270
508, 607, 4979, 1682, 329, 270
509, 388, 2117, 392, 77, 270
508, 390, 2027, 608, 79, 538
508, 394, 1773, 400, 81, 268
510, 390, 1834, 421, 79, 270
500, 390, 1753, 424, 77, 270
508, 392, 1704, 380, 81, 267
508, 392, 1582, 376, 73, 272
504, 390, 1700, 390, 71, 271
506, 390, 1700, 402, 71, 278
503, 390, 1717, 398, 71, 280
505, 394, 1627, 419, 69, 266
498, 388, 1759, 415, 75, 268
493, 388, 2858, 1348, 75, 272
696, 963, 40424, 2397, 619, 991
566, 1327, 5033, 2220, 231, 463
502, 388, 3154, 815, 71, 270
506, 388, 1726, 384, 79, 268
506, 388, 1539, 383, 70, 268
504, 390, 1663, 369, 71, 269
498, 388, 1625, 373, 79, 270
502, 386, 2001, 382, 67, 268
508, 390, 1651, 634, 76, 268
508, 390, 1666, 624, 75, 266
508, 392, 1769, 384, 81, 264
504, 390, 1690, 607, 79, 268
512, 386, 1873, 415, 79, 277
508, 392, 1645, 386, 75, 270
497, 388, 1987, 376, 69, 269
508, 390, 1834, 436, 75, 270
496, 427, 1870, 471, 69, 270
504, 386, 2913, 715, 77, 658
507, 393, 2102, 870, 71, 270
489, 410, 3131, 1144, 71, 487
508, 390, 1970, 384, 76, 274
510, 392, 1883, 394, 79, 270
508, 390, 1541, 449, 77, 270
496, 394, 1816, 427, 81, 271
508, 394, 1674, 387, 75, 270
505, 390, 1569, 408, 75, 270
509, 390, 1808, 371, 70, 268
510, 388, 1712, 386, 79, 270
508, 392, 1922, 408, 71, 268
508, 390, 1663, 410, 77, 268
496, 390, 1722, 404, 71, 270
508, 388, 1637, 411, 71, 272
498, 390, 1607, 375, 67, 272
508, 396, 1721, 402, 79, 266
511, 390, 1786, 384, 80, 654
511, 388, 1900, 376, 71, 270
512, 384, 1552, 439, 82, 268
500, 388, 1748, 407, 75, 439
506, 386, 1625, 414, 67, 270
495, 388, 1633, 384, 67, 269
510, 390, 1751, 430, 67, 268
508, 388, 2279, 368, 77, 270
508, 385, 2107, 384, 77, 382
508, 427, 1558, 432, 81, 270
494, 390, 1765, 386, 71, 267
503, 388, 1688, 384, 69, 268
500, 392, 1641, 398, 70, 270
497, 488, 1909, 323, 65, 262
501, 390, 1743, 361, 67, 272
508, 390, 1924, 388, 81, 270
506, 388, 1570, 408, 77, 266
504, 388, 1743, 413, 68, 272
501, 394, 1640, 398, 77, 270
500, 388, 1710, 390, 77, 271
500, 388, 1682, 405, 71, 268
503, 392, 1642, 371, 67, 270
506, 396, 1717, 380, 69, 270
501, 390, 1613, 392, 79, 268
508, 388, 1799, 410, 78, 276
500, 392, 1885, 372, 75, 271
500, 390, 1720, 376, 76, 270
505, 390, 1694, 811, 71, 268
510, 388, 2025, 380, 69, 270
509, 394, 1757, 384, 69, 268
510, 394, 1568, 404, 81, 268
510, 388, 1812, 400, 77, 453
508, 388, 1670, 380, 69, 276
494, 390, 1668, 396, 82, 270
507, 386, 1607, 407, 81, 269
506, 388, 1649, 382, 69, 271
508, 390, 1960, 1028, 69, 270
510, 388, 1525, 812, 69, 268
491, 388, 1743, 402, 67, 268
503, 388, 1662, 400, 85, 271
501, 392, 1597, 388, 79, 272
506, 390, 1664, 408, 75, 269
502, 388, 1635, 374, 69, 271
508, 467, 1956, 417, 69, 271
508, 390, 1552, 463, 85, 268
500, 392, 1808, 412, 71, 270
508, 392, 1666, 370, 77, 433
502, 388, 1718, 384, 81, 270
497, 397, 1669, 421, 79, 269
508, 390, 1702, 380, 83, 269
499, 388, 2024, 378, 69, 266
508, 388, 1536, 424, 67, 274
496, 388, 1777, 427, 69, 268
508, 390, 1662, 414, 75, 270
493, 390, 1631, 394, 69, 268
506, 388, 1647, 398, 69, 268
510, 390, 1830, 390, 71, 270
510, 386, 1826, 386, 71, 270
508, 396, 1548, 404, 75, 270
494, 390, 1767, 400, 69, 268
510, 386, 1755, 392, 72, 268
493, 390, 1587, 380, 75, 268
507, 388, 1613, 410, 73, 271
509, 388, 1770, 376, 81, 268
506, 388, 1995, 402, 69, 270
506, 388, 1623, 434, 69, 271
495, 388, 1747, 412, 71, 266
502, 388, 1710, 388, 67, 270
498, 392, 1639, 385, 68, 268
506, 502, 2892, 1038, 130, 268
512, 388, 1678, 374, 75, 268
507, 390, 2015, 368, 89, 276
507, 392, 1514, 431, 72, 270
502, 388, 1731, 412, 69, 270
506, 388, 1653, 415, 83, 270
499, 390, 1690, 400, 67, 271
509, 425, 1611, 388, 70, 270
506, 390, 1664, 362, 80, 272
508, 386, 1989, 388, 67, 270
501, 388, 1765, 416, 69, 270
504, 386, 2501, 406, 86, 270
503, 390, 1794, 368, 79, 270
504, 388, 1568, 380, 67, 268
511, 390, 1735, 382, 76, 268
573, 390, 2835, 881, 69, 273
508, 388, 1933, 402, 83, 270
508, 390, 1765, 377, 75, 273
495, 388, 1796, 396, 69, 269
503, 384, 1723, 416, 79, 271
496, 390, 1712, 403, 75, 270
506, 388, 1676, 410, 77, 266
507, 390, 1652, 621, 71, 268
508, 392, 1933, 388, 77, 269
508, 388, 1682, 402, 69, 272
500, 388, 1781, 418, 76, 270
500, 392, 1914, 575, 69, 268
495, 400, 1654, 394, 71, 272
506, 388, 1665, 420, 83, 268
504, 388, 1828, 394, 81, 268
508, 392, 1600, 390, 77, 268
500, 392, 1682, 425, 81, 269
495, 388, 2107, 411, 77, 270
507, 390, 1717, 406, 89, 269
499, 390, 1637, 390, 71, 270
510, 390, 1690, 426, 80, 270
510, 388, 1726, 377, 77, 272
504, 390, 2035, 378, 71, 273
502, 388, 1696, 449, 69, 272
500, 390, 1781, 490, 69, 267
504, 388, 1814, 408, 81, 270
496, 388, 1649, 398, 81, 268
505, 394, 1664, 401, 77, 268
503, 390, 1686, 377, 81, 270
500, 390, 1867, 370, 69, 270
508, 392, 1670, 437, 71, 272
492, 390, 1753, 412, 69, 266
506, 390, 1651, 384, 90, 268
502, 386, 1599, 396, 67, 269
508, 394, 1704, 439, 87, 276
500, 390, 1688, 378, 65, 271
504, 390, 1960, 392, 77, 268
510, 386, 1582, 423, 77, 270
504, 390, 1777, 418, 77, 268
510, 388, 1706, 419, 75, 425
502, 388, 1625, 398, 81, 268
508, 392, 1605, 417, 71, 272
500, 388, 1663, 366, 69, 268
500, 386, 2062, 422, 70, 266
508, 394, 1540, 433, 71, 271
494, 388, 1740, 380, 75, 272
510, 388, 1660, 406, 81, 272
501, 386, 1641, 380, 71, 268
499, 390, 1668, 412, 69, 270
507, 390, 1670, 378, 82, 270
506, 392, 1910, 404, 77, 270
502, 388, 1743, 437, 69, 268
500, 392, 1738, 404, 83, 265
512, 388, 1707, 374, 67, 270
500, 388, 1639, 406, 76, 270
510, 388, 1680, 439, 77, 268
506, 392, 1623, 374, 69, 266
508, 392, 2139, 378, 67, 268
506, 390, 1627, 396, 83, 270
497, 390, 2093, 418, 69, 268
508, 388, 1792, 416, 76, 268
508, 390, 1668, 406, 82, 272
510, 388, 1721, 414, 77, 266
508, 390, 1652, 378, 77, 272
507, 388, 1822, 388, 77, 270
508, 392, 1682, 443, 75, 268
490, 406, 1739, 381, 75, 270
500, 390, 1680, 436, 72, 268
504, 390, 1574, 405, 75, 268
502, 392, 2088, 396, 71, 372
502, 392, 1670, 390, 71, 270
493, 467, 1993, 337, 78, 674
537, 392, 1761, 439, 75, 273
494, 433, 1748, 402, 77, 268
507, 386, 1800, 392, 79, 268
508, 394, 1558, 406, 71, 270
508, 388, 1720, 364, 71, 268
508, 390, 1735, 370, 71, 270
502, 392, 2080, 390, 81, 273
504, 392, 1647, 440, 77, 266
492, 386, 1692, 453, 67, 268
506, 392, 1694, 407, 81, 270
500, 390, 1570, 776, 81, 273
510, 392, 1696, 392, 67, 273
502, 390, 1797, 390, 71, 270
510, 388, 1848, 365, 69, 268
506, 388, 1599, 540, 69, 270
491, 388, 1804, 408, 69, 268
508, 388, 1712, 744, 79, 268
504, 388, 1539, 384, 79, 271
510, 390, 1667, 415, 69, 269
510, 392, 1816, 382, 81, 271
510, 394, 1969, 388, 67, 272
506, 390, 1729, 430, 69, 270
498, 390, 1732, 420, 75, 270
508, 388, 1690, 399, 75, 275
504, 390, 1511, 398, 67, 270
510, 396, 1702, 379, 69, 272
507, 395, 1616, 405, 71, 270
508, 392, 2041, 384, 76, 276
509, 390, 1638, 453, 67, 270
488, 390, 2216, 396, 76, 270
508, 388, 1728, 408, 71, 266
508, 388, 1645, 392, 86, 268
508, 390, 1739, 376, 83, 268
502, 386, 1682, 374, 71, 274
508, 392, 2030, 392, 73, 272
506, 390, 1658, 403, 81, 268
492, 388, 1749, 398, 79, 269
507, 388, 1753, 405, 75, 268
508, 387, 1542, 386, 75, 271
506, 392, 1674, 382, 77, 268
508, 388, 1897, 374, 76, 298
495, 388, 2025, 374, 67, 268
508, 392, 1648, 427, 79, 268
492, 387, 2162, 398, 81, 270
507, 390, 1764, 374, 77, 270
499, 392, 1633, 381, 70, 270
505, 386, 1666, 386, 76, 268
502, 388, 1773, 390, 86, 270
508, 390, 1950, 383, 69, 269
506, 390, 1686, 403, 79, 267
494, 390, 1745, 402, 80, 268
502, 390, 1800, 408, 67, 269
501, 388, 1640, 392, 81, 268
503, 388, 1674, 378, 81, 268
510, 390, 1808, 376, 79, 270
509, 390, 1893, 398, 79, 640
502, 388, 1696, 400, 71, 270
500, 390, 2192, 416, 79, 267
505, 390, 1806, 398, 72, 272
496, 390, 1647, 370, 80, 268
511, 390, 1650, 417, 71, 268
508, 388, 1763, 418, 77, 270
508, 390, 1944, 374, 71, 270
506, 392, 1532, 428, 69, 268
500, 394, 1777, 398, 69, 270
504, 386, 1657, 382, 67, 268
492, 390, 1629, 378, 67, 271
502, 388, 1688, 400, 74, 276
505, 390, 1697, 374, 71, 276
503, 386, 1792, 369, 83, 268
510, 392, 1688, 439, 81, 270
495, 390, 1814, 402, 77, 270
500, 388, 1629, 392, 67, 270
505, 396, 1567, 378, 71, 270
506, 390, 1674, 376, 81, 272
501, 390, 1688, 411, 69, 268
507, 388, 1579, 390, 77, 269
510, 388, 1666, 404, 69, 270
510, 390, 2027, 569, 67, 270
508, 388, 1775, 386, 79, 671
507, 390, 1579, 770, 75, 271
508, 390, 1637, 386, 77, 270
507, 392, 1627, 371, 69, 269
510, 388, 1749, 382, 67, 268
510, 390, 1674, 436, 73, 270
504, 388, 2370, 390, 81, 268
508, 386, 1797, 388, 69, 269
503, 392, 1963, 400, 76, 272
510, 388, 1690, 398, 75, 270
508, 394, 1678, 405, 78, 276
504, 388, 1717, 378, 87, 270
510, 388, 1719, 447, 69, 270
506, 394, 1676, 367, 81, 268
504, 388, 1686, 368, 71, 268
498, 388, 1539, 403, 69, 268
510, 386, 1722, 408, 77, 268
508, 392, 1656, 377, 71, 266
502, 383, 1670, 408, 69, 268
508, 386, 1794, 432, 75, 268
508, 394, 2192, 383, 78, 270
506, 388, 2204, 661, 88, 280
788, 405, 6345, 1759, 67, 273
508, 518, 4539, 1200, 132, 534
536, 394, 3319, 792, 80, 272
502, 394, 2965, 756, 67, 271
506, 394, 1562, 392, 80, 276
510, 388, 1694, 412, 71, 268
506, 392, 1684, 585, 69, 270
500, 388, 2318, 406, 77, 268
506, 390, 1814, 447, 83, 271
506, 386, 1656, 404, 77, 270
508, 390, 1702, 370, 69, 268
504, 390, 1552, 396, 67, 270
501, 390, 1713, 401, 69, 268
500, 390, 1653, 418, 77, 268
508, 388, 1832, 416, 77, 268
508, 392, 1714, 404, 86, 270
508, 392, 1720, 376, 79, 7524
510, 392, 3083, 374, 83, 563
493, 392, 2249, 801, 69, 299
511, 392, 3854, 1251, 71, 270
507, 529, 3048, 987, 79, 270
510, 394, 1840, 550, 69, 268
508, 388, 1588, 398, 71, 274
502, 388, 1763, 398, 71, 333
502, 388, 1759, 607, 77, 291
502, 394, 2194, 369, 75, 272
510, 388, 1737, 445, 83, 268
506, 388, 2234, 624, 69, 268
500, 390, 1928, 370, 82, 270
502, 386, 1574, 430, 69, 266
510, 390, 1802, 417, 71, 268
508, 388, 1836, 443, 71, 270
504, 386, 1653, 412, 73, 272
502, 390, 1783, 408, 69, 271
506, 390, 1739, 621, 82, 266
502, 388, 1807, 404, 71, 270
504, 394, 1627, 402, 81, 268
506, 388, 1783, 408, 76, 268
508, 388, 1796, 384, 69, 270
502, 390, 1866, 433, 67, 264
510, 390, 2239, 465, 79, 272
512, 433, 2129, 421, 71, 269
504, 392, 1792, 374, 71, 268
506, 390, 1675, 382, 75, 270
508, 388, 2131, 380, 81, 268
508, 388, 1849, 374, 73, 270
506, 394, 2111, 381, 79, 270
508, 390, 1737, 451, 71, 270
497, 390, 2288, 410, 87, 271
498, 392, 1782, 406, 69, 268
510, 388, 17164, 410, 75, 287
508, 390, 2165, 378, 75, 270
509, 388, 1778, 378, 67, 272
502, 388, 1909, 419, 75, 270
508, 394, 2173, 435, 79, 268
502, 388, 2638, 408, 69, 268
508, 390, 1783, 388, 71, 271
501, 388, 1731, 376, 81, 270
506, 390, 1806, 412, 73, 270
508, 386, 1801, 390, 75, 274
512, 388, 2005, 368, 81, 591
504, 392, 2175, 376, 75, 268
492, 390, 3067, 411, 71, 268
502, 386, 1844, 400, 67, 268
499, 388, 1711, 377, 69, 270
511, 390, 1759, 406, 67, 268
508, 390, 2301, 376, 69, 268
512, 390, 1816, 375, 69, 270
508, 390, 1576, 437, 77, 268
496, 388, 2799, 400, 67, 270
506, 390, 1849, 380, 80, 270
502, 390, 1698, 382, 75, 272
508, 388, 1737, 411, 79, 272
500, 388, 2234, 380, 77, 268
504, 392, 1773, 370, 67, 271
502, 386, 1576, 404, 73, 268
492, 388, 1799, 390, 69, 270
499, 390, 1851, 390, 77, 280
502, 394, 2001, 419, 79, 270
500, 394, 1775, 403, 69, 270
506, 388, 1818, 396, 80, 270
498, 388, 1755, 366, 71, 268
505, 390, 1532, 440, 68, 272
505, 388, 2121, 418, 69, 268
506, 392, 1875, 378, 67, 270
493, 390, 2001, 384, 71, 266
507, 392, 1753, 810, 77, 274
508, 388, 2210, 382, 75, 270
507, 396, 1808, 384, 71, 268
510, 392, 1643, 418, 71, 266
496, 394, 2234, 404, 67, 268
509, 393, 1724, 388, 77, 264
502, 392, 1857, 382, 69, 270
505, 392, 1774, 411, 73, 272
508, 386, 2187, 386, 71, 268
497, 390, 1847, 378, 68, 276
507, 388, 1609, 441, 81, 268
502, 388, 2285, 412, 76, 270
501, 390, 1802, 386, 82, 276
500, 394, 1950, 392, 71, 268
506, 390, 1741, 400, 71, 270
512, 390, 2363, 394, 71, 268
503, 388, 1855, 404, 67, 270
510, 388, 1574, 504, 69, 275
496, 388, 1820, 428, 79, 272
499, 388, 1802, 410, 77, 270
501, 384, 1950, 378, 67, 271
510, 386, 1741, 429, 69, 266
509, 388, 2168, 382, 77, 270
494, 388, 1830, 400, 79, 268
502, 392, 1598, 435, 71, 272
508, 392, 1804, 416, 80, 270
502, 390, 1802, 373, 71, 270
510, 390, 2017, 409, 71, 272
502, 392, 1725, 437, 69, 270
507, 392, 2243, 382, 69, 270
499, 390, 1853, 373, 73, 270
506, 388, 1629, 408, 75, 270
504, 396, 1838, 403, 69, 270
505, 392, 1861, 412, 73, 272
502, 386, 1810, 483, 67, 276
508, 390, 1682, 426, 71, 272
506, 388, 2190, 372, 67, 266
508, 392, 1808, 370, 85, 270
506, 394, 1605, 431, 79, 271
505, 390, 1833, 406, 75, 270
508, 396, 1844, 405, 76, 270
508, 392, 1930, 398, 69, 268
508, 390, 1745, 410, 80, 272
505, 394, 2269, 380, 69, 270
502, 388, 1794, 373, 77, 268
500, 386, 1627, 441, 74, 270
503, 386, 1800, 412, 80, 272
504, 390, 1859, 388, 82, 270
508, 392, 1897, 363, 69, 270
508, 394, 1753, 437, 69, 274
495, 390, 2141, 400, 71, 268
492, 390, 1779, 367, 69, 268
500, 390, 1590, 438, 67, 268
506, 390, 1850, 410, 75, 271
506, 390, 1802, 412, 79, 266
508, 390, 1962, 384, 69, 268
503, 398, 1737, 367, 67, 270
510, 386, 2332, 370, 69, 272
501, 392, 1772, 382, 71, 268
508, 392, 1594, 416, 83, 269
510, 388, 1784, 374, 79, 384
508, 388, 2132, 404, 69, 268
508, 387, 2070, 398, 69, 268
510, 394, 1800, 392, 69, 269
495, 431, 2131, 447, 71, 268
510, 390, 1828, 378, 69, 273
506, 388, 1645, 372, 76, 272
505, 390, 1778, 415, 71, 268
508, 390, 1780, 369, 89, 268
500, 390, 1962, 388, 69, 273
500, 390, 1548, 441, 77, 270
496, 430, 2267, 384, 69, 273
506, 394, 1804, 378, 87, 269
506, 427, 1578, 422, 79, 277
508, 388, 1877, 394, 75, 268
510, 390, 1753, 412, 75, 270
508, 386, 2033, 396, 77, 270
508, 394, 1582, 433, 79, 270
502, 390, 2060, 370, 71, 268
509, 401, 5470, 1556, 71, 652
508, 390, 1648, 402, 67, 270
510, 390, 1769, 676, 77, 268
508, 390, 2165, 378, 79, 274
500, 394, 1800, 449, 71, 272
508, 392, 1564, 404, 80, 272
493, 388, 1816, 392, 77, 274
509, 386, 1770, 406, 71, 278
499, 386, 1656, 388, 75, 267
509, 392, 1790, 400, 79, 270
508, 388, 1794, 626, 75, 455
500, 390, 1794, 394, 79, 268
508, 388, 1605, 410, 67, 272
495, 388, 1794, 406, 72, 282
508, 388, 1759, 388, 83, 270
496, 431, 2411, 329, 69, 268
507, 390, 1814, 435, 81, 266
507, 390, 2208, 369, 71, 269
502, 388, 1863, 411, 69, 266
508, 390, 1544, 445, 69, 269
508, 392, 1742, 415, 85, 269
501, 386, 1788, 381, 69, 274
500, 392, 2003, 388, 84, 268
510, 388, 1725, 408, 83, 270
500, 392, 2279, 378, 71, 266
509, 388, 1826, 410, 77, 270
500, 390, 1600, 443, 81, 270
504, 388, 1834, 383, 80, 268
506, 390, 1771, 376, 69, 268
498, 388, 1956, 378, 78, 268
510, 386, 1749, 404, 69, 268
504, 390, 2192, 406, 69, 266
510, 390, 1870, 382, 69, 268
508, 394, 1651, 410, 67, 273
492, 394, 1816, 390, 69, 270
506, 394, 1767, 420, 75, 270
502, 390, 1944, 386, 79, 272
508, 390, 1747, 428, 81, 270
499, 392, 1782, 382, 67, 270
510, 390, 1767, 382, 76, 416
506, 390, 1596, 419, 71, 270
494, 387, 1873, 375, 69, 268
500, 388, 1861, 414, 77, 270
500, 390, 1893, 370, 76, 268
512, 388, 1745, 400, 69, 270
499, 390, 2194, 380, 69, 270
506, 388, 1809, 407, 75, 270
506, 392, 1661, 437, 88, 266
494, 390, 1798, 412, 81, 272
506, 394, 1818, 388, 81, 269
502, 390, 2080, 384, 77, 268
508, 388, 1773, 410, 67, 268
510, 390, 1838, 392, 77, 272
512, 390, 1812, 370, 80, 268
506, 390, 1612, 375, 79, 268
494, 388, 1787, 410, 77, 270
501, 388, 1825, 427, 81, 272
500, 394, 2135, 404, 81, 268
503, 390, 1763, 402, 71, 270
510, 388, 2039, 386, 69, 268
500, 390, 1773, 380, 67, 270
508, 388, 1631, 411, 71, 268
494, 388, 1812, 417, 69, 271
502, 392, 1785, 374, 68, 272
496, 390, 2102, 434, 73, 270
508, 392, 1734, 414, 84, 266
510, 390, 2314, 380, 69, 268
507, 386, 1804, 412, 87, 268
508, 390, 1536, 398, 81, 270
496, 388, 1784, 415, 69, 268
510, 390, 1795, 381, 71, 272
507, 390, 2080, 373, 69, 268
508, 390, 1763, 400, 75, 268
508, 390, 2323, 368, 79, 268
508, 390, 1826, 364, 80, 268
499, 388, 1705, 443, 67, 270
500, 388, 1793, 370, 71, 268
500, 386, 1739, 416, 87, 269
502, 390, 1942, 376, 77, 268
502, 392, 1667, 434, 71, 269
503, 388, 2204, 371, 68, 270
508, 388, 1858, 405, 75, 271
508, 392, 1601, 409, 69, 272
500, 388, 1804, 394, 80, 270
509, 390, 1755, 386, 78, 270
